Facility,Institution,Emissions
Centre Hospitalier Universitaire Vaudois,CHUV Centre Hospitalier Universitaire Vaudois,24430.40
Psychiatrie Nord CPNVD,CHUV Centre Hospitalier Universitaire Vaudois,24430.40
Psychiatrie Ouest Hôpital de Prangins,CHUV Centre Hospitalier Universitaire Vaudois,24430.40
Aigle Pôle Physio-Ergo d'Aigle,Hôpital Riviera-Chablais Vaud-Valais,4044.19
Mottex Réadaptation/gériatrie,Hôpital Riviera-Chablais Vaud-Valais,4044.19
Providence Permanence médicale Riviera Réadaptation/gériatrie,Hôpital Riviera-Chablais Vaud-Valais,4044.19
Rennaz Centre hospitalier de Rennaz,Hôpital Riviera-Chablais Vaud-Valais,4044.19
Samaritain Site administratif,Hôpital Riviera-Chablais Vaud-Valais,4044.19
Clinique Bois-Bougy,Clinique Bois-Bougy Sàrl,207.39
Clinique la Lignière,Clinique la Lignière,308.10
Hôpital d'Orbe,Etablissements Hospitaliers du Nord Vaudois (eHnv),2808.54
Hôpital d'Yverdon-les-Bains,Etablissements Hospitaliers du Nord Vaudois (eHnv),2808.54
Hôpital de Chamblon,Etablissements Hospitaliers du Nord Vaudois (eHnv),2808.54
Hôpital de Saint-Loup,Etablissements Hospitaliers du Nord Vaudois (eHnv),2808.54
Permanence de Cossonay,Etablissements Hospitaliers du Nord Vaudois (eHnv),2808.54
Hôpital de Gilly,EHC Ensemble hospitalier de la Côte,2992.48
Hôpital de Morges,EHC Ensemble hospitalier de la Côte,2992.48
Hôptial d'Aubonne,EHC Ensemble hospitalier de la Côte,2992.48
Clinique Valmont,GSMN Schweiz SA - Clinique Valmont,268.896
Moudon,Hôpital Intercantonal de la Broye (HIB),1401.54
Payerne,Hôpital Intercantonal de la Broye (HIB),1401.54
Hôpital de Lavaux,Hôpital de Lavaux,353.54
Institution de Lavigny,Institution de Lavigny,259.46
Hôpital de Nyon,Groupement Hospitalier de l'Ouest Lémanique (GHOL) SA,1596.45
Hôpital de Rolle,Groupement Hospitalier de l'Ouest Lémanique (GHOL) SA,1596.45
Pôle santé du Pays-d_x0019_ Enhaut,Pôle santé du Pays-d'Enhaut,185.888
Fondation Rive-Neuve,Fondation Rive-Neuve - Unité de Soins Palliatifs,137.02
Chamoyron,Secteur Psychiatrique Est Fondation de Nant,726.02
Château-d'Oex,Secteur Psychiatrique Est Fondation de Nant,726.02
Espace Santé Rennaz,Secteur Psychiatrique Est Fondation de Nant,726.02
Grand-Chêne,Secteur Psychiatrique Est Fondation de Nant,726.02
HRC,Secteur Psychiatrique Est Fondation de Nant,726.02
Hôpital psychiatrique Nant,Secteur Psychiatrique Est Fondation de Nant,726.02
La Tour-de-Peilz,Secteur Psychiatrique Est Fondation de Nant,726.02
Les Communaux,Secteur Psychiatrique Est Fondation de Nant,726.02
Les Moulins,Secteur Psychiatrique Est Fondation de Nant,726.02
Molage,Secteur Psychiatrique Est Fondation de Nant,726.02
Montreux,Secteur Psychiatrique Est Fondation de Nant,726.02
Clinique la Métairie,Clinique Privée La Métairie Sàrl,208.96
Clinique de Genolier,GSMN Schweiz SA - Clinique de Genolier,525.888
Clinique de la Source,Clinique de La Source,982.432
Clinique Cecil,Clinique Cecil,851.49
Clinique Bois-Cerf,Clinique Bois-Cerf,586.432
CIC,Clinique CIC Riviera,161.664
Clinique La Prairie,Clinique la Prairie SA,136.672
Biotonus,"Biotonus, Clinique Bon-Port SA centre de soins médicaux & esthétiques",79.776
Clinique de Montchoisi,GSMN Schweiz SA - Clinique de Montchoisi,195.264
Les Rosiers,Réseau Santé Balcon du Jura.vd (RSBJ),425.82
Hôpital de la Vallée de Joux,Pôle santé Vallée de Joux - Hôpital de la Vallée de Joux,284.06
Hôpital ophtalmique Jules-Gonin,Hôpital Ophtalmique Jules Gonin Fondation Asile des Aveugles,617.088
